policy_name,coverage_term,annual_premium,provider,sum_assured,critical_illness,type,age_until,gender,smoker,age,most_notable_5,market_share_top,local_companies,provide_ci,provide_hospital_ins,entered_sg
DIRECT- TM Basic Term (Level),34,89,Tokio Marine Life Insurance Singapore Ltd,100000,0,term,65,f,0,31,0,0,0,1,0,1923
Direct-LICS New Secure Future Term Plan,34,92,LIC (Singapore) Pte Ltd,100000,0,term,65,f,0,31,0,0,0,0,0,2013
DIRECT - China Life Term Plan,34,93,China Life Insurance (Singapore) Pte. Ltd.,100000,0,term,65,f,0,31,0,0,0,1,0,2015
DIRECT Star Term (non-renewable),34,95,Income Insurance Limited,100000,0,term,65,f,0,31,1,1,1,1,1,1970
DIRECT - AIA Term Cover,35,96,AIA Singapore,100000,0,term,65,f,0,31,1,1,0,1,1,1931
DIRECT - HSBC Life - Term Lite,35,97,HSBC Life (Singapore) Pte. Ltd.,100000,0,term,65,f,0,31,0,1,0,1,1,2022
DIRECT- ManuAssure Term,35,111,Manulife (Singapore) Pte. Ltd.,100000,0,term,65,f,0,31,1,1,0,1,0,1899
DIRECT - Singlife Term Life,34,115,Singapore Life Ltd.,100000,0,term,65,f,0,31,0,1,1,1,1,2022
DIRECT - Etiqa term life,34,138,Etiqa Insurance Pte. Ltd.,100000,0,term,65,m,1,31,0,0,0,1,0,2007
DIRECT- TM Basic Term (Level),34,145,Tokio Marine Life Insurance Singapore Ltd,100000,0,term,65,m,1,31,0,0,0,1,0,1923
Direct-LICS New Secure Future Term Plan,34,158,LIC (Singapore) Pte Ltd,100000,0,term,65,m,1,31,0,0,0,0,0,2013
DIRECT - China Life Term Plan,34,167,China Life Insurance (Singapore) Pte. Ltd.,100000,0,term,65,m,1,31,0,0,0,1,0,2015
DIRECT - Great Term,34,167,Great Eastern Life,100000,0,term,65,m,1,31,1,1,1,1,1,1908
DIRECT - Term Life,34,176,FWD SINGAPORE PTE. LTD.,100000,0,term,65,m,1,31,0,0,0,1,0,2016
DIRECT - HSBC Life - Term Lite,35,183,HSBC Life (Singapore) Pte. Ltd.,100000,0,term,65,m,1,31,0,1,0,1,1,2022
DIRECT - Singlife Term Life,34,186,Singapore Life Ltd.,100000,0,term,65,m,1,31,0,1,1,1,1,2022
DIRECT - PRUprotect term @ 65,34,196,Prudential Assurance Company Singapore (Pte) Limited,100000,0,term,65,m,1,31,1,1,0,1,1,1931
DIRECT Star Term (non-renewable),34,209,Income Insurance Limited,100000,0,term,65,m,1,31,1,1,1,1,1,1970
DIRECT - AIA Term Cover,35,223,AIA Singapore,100000,0,term,65,m,1,31,1,1,0,1,1,1931
DIRECT- ManuAssure Term,35,239,Manulife (Singapore) Pte. Ltd.,100000,0,term,65,m,1,31,1,1,0,1,0,1899
DIRECT - Term,34,241,China Taiping Insurance (Singapore) Pte. Ltd.,100000,0,term,65,m,1,31,0,0,0,1,0,2003
DIRECT - Great Term,34,115,Great Eastern Life,100000,0,term,65,f,1,31,1,1,1,1,1,1908
DIRECT - Term Life,34,116,FWD SINGAPORE PTE. LTD.,100000,0,term,65,f,1,31,0,0,0,1,0,2016
DIRECT - Etiqa term life,34,119,Etiqa Insurance Pte. Ltd.,100000,0,term,65,f,1,31,0,0,0,1,0,2007
Direct-LICS New Secure Future Term Plan,34,122,LIC (Singapore) Pte Ltd,100000,0,term,65,f,1,31,0,0,0,0,0,2013
DIRECT - HSBC Life - Term Lite,35,123,HSBC Life (Singapore) Pte. Ltd.,100000,0,term,65,f,1,31,0,1,0,1,1,2022
DIRECT- TM Basic Term (Level),34,126,Tokio Marine Life Insurance Singapore Ltd,100000,0,term,65,f,1,31,0,0,0,1,0,1923
DIRECT - China Life Term Plan,34,127,China Life Insurance (Singapore) Pte. Ltd.,100000,0,term,65,f,1,31,0,0,0,1,0,2015
DIRECT - PRUprotect term @ 65,34,141,Prudential Assurance Company Singapore (Pte) Limited,100000,0,term,65,f,1,31,1,1,0,1,1,1931
DIRECT - Singlife Term Life,34,147,Singapore Life Ltd.,100000,0,term,65,f,1,31,0,1,1,1,1,2022
DIRECT- ManuAssure Term,35,148,Manulife (Singapore) Pte. Ltd.,100000,0,term,65,f,1,31,1,1,0,1,0,1899
DIRECT Star Term (non-renewable),34,157,Income Insurance Limited,100000,0,term,65,f,1,31,1,1,1,1,1,1970
DIRECT - AIA Term Cover,35,160,AIA Singapore,100000,0,term,65,f,1,31,1,1,0,1,1,1931
DIRECT - Term,34,192,China Taiping Insurance (Singapore) Pte. Ltd.,100000,0,term,65,f,1,31,0,0,0,1,0,2003
DIRECT - Etiqa term life,34,138,Etiqa Insurance Pte. Ltd.,200000,0,term,65,m,0,31,0,0,0,1,0,2007
DIRECT- TM Basic Term (Level),34,177,Tokio Marine Life Insurance Singapore Ltd,200000,0,term,65,m,0,31,0,0,0,1,0,1923
DIRECT - HSBC Life - Term Lite,35,178,HSBC Life (Singapore) Pte. Ltd.,200000,0,term,65,m,0,31,0,1,0,1,1,2022
DIRECT - Term,34,183,China Taiping Insurance (Singapore) Pte. Ltd.,200000,0,term,65,m,0,31,0,0,0,1,0,2003
DIRECT Star Term (non-renewable),34,203,Income Insurance Limited,200000,0,term,65,m,0,31,1,1,1,1,1,1970
DIRECT - China Life Term Plan,34,206,China Life Insurance (Singapore) Pte. Ltd.,200000,0,term,65,m,0,31,0,0,0,1,0,2015
DIRECT - Great Term,34,221,Great Eastern Life,200000,0,term,65,m,0,31,1,1,1,1,1,1908
DIRECT - Singlife Term Life,34,225,Singapore Life Ltd.,200000,0,term,65,m,0,31,0,1,1,1,1,2022
DIRECT - Term Life,34,234,FWD SINGAPORE PTE. LTD.,200000,0,term,65,m,0,31,0,0,0,1,0,2016
DIRECT - AIA Term Cover,35,238,AIA Singapore,200000,0,term,65,m,0,31,1,1,0,1,1,1931
DIRECT - PRUprotect term @ 65,34,238,Prudential Assurance Company Singapore (Pte) Limited,200000,0,term,65,m,0,31,1,1,0,1,1,1931
Direct-LICS New Secure Future Term Plan,34,251,LIC (Singapore) Pte Ltd,200000,0,term,65,m,0,31,0,0,0,0,0,2013
DIRECT- ManuAssure Term,35,313,Manulife (Singapore) Pte. Ltd.,200000,0,term,65,m,0,31,1,1,0,1,0,1899
DIRECT - Etiqa term life,34,118,Etiqa Insurance Pte. Ltd.,200000,0,term,65,f,0,31,0,0,0,1,0,2007
DIRECT - HSBC Life - Term Lite,35,130,HSBC Life (Singapore) Pte. Ltd.,200000,0,term,65,f,0,31,0,1,0,1,1,2022
DIRECT - Term,34,131,China Taiping Insurance (Singapore) Pte. Ltd.,200000,0,term,65,f,0,31,0,0,0,1,0,2003
DIRECT Star Term (non-renewable),34,151,Income Insurance Limited,200000,0,term,65,f,0,31,1,1,1,1,1,1970
DIRECT - Great Term,34,152,Great Eastern Life,200000,0,term,65,f,0,31,1,1,1,1,1,1908
DIRECT - China Life Term Plan,34,156,China Life Insurance (Singapore) Pte. Ltd.,200000,0,term,65,f,0,31,0,0,0,1,0,2015
DIRECT- TM Basic Term (Level),34,161,Tokio Marine Life Insurance Singapore Ltd,200000,0,term,65,f,0,31,0,0,0,1,0,1923
DIRECT - Term Life,34,170,FWD SINGAPORE PTE. LTD.,200000,0,term,65,f,0,31,0,0,0,1,0,2016
DIRECT - PRUprotect term @ 65,34,176,Prudential Assurance Company Singapore (Pte) Limited,200000,0,term,65,f,0,31,1,1,0,1,1,1931
Direct-LICS New Secure Future Term Plan,34,184,LIC (Singapore) Pte Ltd,200000,0,term,65,f,0,31,0,0,0,0,0,2013
DIRECT - AIA Term Cover,35,192,AIA Singapore,200000,0,term,65,f,0,31,1,1,0,1,1,1931
DIRECT - Singlife Term Life,34,192,Singapore Life Ltd.,200000,0,term,65,f,0,31,0,1,1,1,1,2022
DIRECT- ManuAssure Term,35,222,Manulife (Singapore) Pte. Ltd.,200000,0,term,65,f,0,31,1,1,0,1,0,1899
DIRECT - HSBC Life - Term Lite,35,245,HSBC Life (Singapore) Pte. Ltd.,200000,0,term,65,m,1,31,0,1,0,1,1,2022
DIRECT - Etiqa term life,34,256,Etiqa Insurance Pte. Ltd.,200000,0,term,65,m,1,31,0,0,0,1,0,2007
DIRECT- TM Basic Term (Level),34,263,Tokio Marine Life Insurance Singapore Ltd,200000,0,term,65,m,1,31,0,0,0,1,0,1923
DIRECT - China Life Term Plan,34,304,China Life Insurance (Singapore) Pte. Ltd.,200000,0,term,65,m,1,31,0,0,0,1,0,2015
DIRECT - Great Term,34,313,Great Eastern Life,200000,0,term,65,m,1,31,1,1,1,1,1,1908
DIRECT - Singlife Term Life,34,313,Singapore Life Ltd.,200000,0,term,65,m,1,31,0,1,1,1,1,2022
Direct-LICS New Secure Future Term Plan,34,316,LIC (Singapore) Pte Ltd,200000,0,term,65,m,1,31,0,0,0,0,0,2013
DIRECT Star Term (non-renewable),34,334,Income Insurance Limited,200000,0,term,65,m,1,31,1,1,1,1,1,1970
DIRECT - Term Life,34,352,FWD SINGAPORE PTE. LTD.,200000,0,term,65,m,1,31,0,0,0,1,0,2016
DIRECT - PRUprotect term @ 65,34,392,Prudential Assurance Company Singapore (Pte) Limited,200000,0,term,65,m,1,31,1,1,0,1,1,1931
DIRECT - Term,34,395,China Taiping Insurance (Singapore) Pte. Ltd.,200000,0,term,65,m,1,31,0,0,0,1,0,2003
DIRECT - AIA Term Cover,35,446,AIA Singapore,200000,0,term,65,m,1,31,1,1,0,1,1,1931
DIRECT- ManuAssure Term,35,478,Manulife (Singapore) Pte. Ltd.,200000,0,term,65,m,1,31,1,1,0,1,0,1899
DIRECT - HSBC Life - Term Lite,35,165,HSBC Life (Singapore) Pte. Ltd.,200000,0,term,65,f,1,31,0,1,0,1,1,2022
DIRECT - Great Term,34,210,Great Eastern Life,200000,0,term,65,f,1,31,1,1,1,1,1,1908
DIRECT - Etiqa term life,34,218,Etiqa Insurance Pte. Ltd.,200000,0,term,65,f,1,31,0,0,0,1,0,2007
DIRECT - China Life Term Plan,34,224,China Life Insurance (Singapore) Pte. Ltd.,200000,0,term,65,f,1,31,0,0,0,1,0,2015
DIRECT- TM Basic Term (Level),34,228,Tokio Marine Life Insurance Singapore Ltd,200000,0,term,65,f,1,31,0,0,0,1,0,1923
DIRECT - Term Life,34,232,FWD SINGAPORE PTE. LTD.,200000,0,term,65,f,1,31,0,0,0,1,0,2016
Direct-LICS New Secure Future Term Plan,34,244,LIC (Singapore) Pte Ltd,200000,0,term,65,f,1,31,0,0,0,0,0,2013
DIRECT - Singlife Term Life,34,247,Singapore Life Ltd.,200000,0,term,65,f,1,31,0,1,1,1,1,2022
DIRECT Star Term (non-renewable),34,251,Income Insurance Limited,200000,0,term,65,f,1,31,1,1,1,1,1,1970
DIRECT - PRUprotect term @ 65,34,282,Prudential Assurance Company Singapore (Pte) Limited,200000,0,term,65,f,1,31,1,1,0,1,1,1931
DIRECT- ManuAssure Term,35,296,Manulife (Singapore) Pte. Ltd.,200000,0,term,65,f,1,31,1,1,0,1,0,1899
DIRECT - Term,34,314,China Taiping Insurance (Singapore) Pte. Ltd.,200000,0,term,65,f,1,31,0,0,0,1,0,2003
DIRECT - AIA Term Cover,35,320,AIA Singapore,200000,0,term,65,f,1,31,1,1,0,1,1,1931
DIRECT - Etiqa term life,34,198,Etiqa Insurance Pte. Ltd.,300000,0,term,65,m,0,31,0,0,0,1,0,2007
DIRECT- TM Basic Term (Level),34,208,Tokio Marine Life Insurance Singapore Ltd,300000,0,term,65,m,0,31,0,0,0,1,0,1923
DIRECT Star Term (non-renewable),34,248,Income Insurance Limited,300000,0,term,65,m,0,31,1,1,1,1,1,1970
DIRECT - HSBC Life - Term Lite,35,267,HSBC Life (Singapore) Pte. Ltd.,300000,0,term,65,m,0,31,0,1,0,1,1,2022
DIRECT - Term,34,275,China Taiping Insurance (Singapore) Pte. Ltd.,300000,0,term,65,m,0,31,0,0,0,1,0,2003
DIRECT - China Life Term Plan,34,279,China Life Insurance (Singapore) Pte. Ltd.,300000,0,term,65,m,0,31,0,0,0,1,0,2015
DIRECT - Term Life,34,285,FWD SINGAPORE PTE. LTD.,300000,0,term,65,m,0,31,0,0,0,1,0,2016
DIRECT - Singlife Term Life,34,317,Singapore Life Ltd.,300000,0,term,65,m,0,31,0,1,1,1,1,2022
DIRECT - Great Term,34,332,Great Eastern Life,300000,0,term,65,m,0,31,1,1,1,1,1,1908
DIRECT - AIA Term Cover,35,357,AIA Singapore,300000,0,term,65,m,0,31,1,1,0,1,1,1931
DIRECT - PRUprotect term @ 65,34,357,Prudential Assurance Company Singapore (Pte) Limited,300000,0,term,65,m,0,31,1,1,0,1,1,1931
Direct-LICS New Secure Future Term Plan,34,376,LIC (Singapore) Pte Ltd,300000,0,term,65,m,0,31,0,0,0,0,0,2013
DIRECT- ManuAssure Term,35,386,Manulife (Singapore) Pte. Ltd.,300000,0,term,65,m,0,31,1,1,0,1,0,1899
DIRECT - Etiqa term life,34,168,Etiqa Insurance Pte. Ltd.,300000,0,term,65,f,0,31,0,0,0,1,0,2007
DIRECT Star Term (non-renewable),34,185,Income Insurance Limited,300000,0,term,65,f,0,31,1,1,1,1,1,1970
DIRECT- TM Basic Term (Level),34,191,Tokio Marine Life Insurance Singapore Ltd,300000,0,term,65,f,0,31,0,0,0,1,0,1923
DIRECT - HSBC Life - Term Lite,35,195,HSBC Life (Singapore) Pte. Ltd.,300000,0,term,65,f,0,31,0,1,0,1,1,2022
DIRECT - Term,34,196,China Taiping Insurance (Singapore) Pte. Ltd.,300000,0,term,65,f,0,31,0,0,0,1,0,2003
DIRECT - China Life Term Plan,34,204,China Life Insurance (Singapore) Pte. Ltd.,300000,0,term,65,f,0,31,0,0,0,1,0,2015
DIRECT - Term Life,34,204,FWD SINGAPORE PTE. LTD.,300000,0,term,65,f,0,31,0,0,0,1,0,2016
DIRECT - Great Term,34,228,Great Eastern Life,300000,0,term,65,f,0,31,1,1,1,1,1,1908
DIRECT - PRUprotect term @ 65,34,264,Prudential Assurance Company Singapore (Pte) Limited,300000,0,term,65,f,0,31,1,1,0,1,1,1931
DIRECT - Singlife Term Life,34,271,Singapore Life Ltd.,300000,0,term,65,f,0,31,0,1,1,1,1,2022
DIRECT- ManuAssure Term,35,275,Manulife (Singapore) Pte. Ltd.,300000,0,term,65,f,0,31,1,1,0,1,0,1899
Direct-LICS New Secure Future Term Plan,34,276,LIC (Singapore) Pte Ltd,300000,0,term,65,f,0,31,0,0,0,0,0,2013
DIRECT - AIA Term Cover,35,288,AIA Singapore,300000,0,term,65,f,0,31,1,1,0,1,1,1931
DIRECT- TM Basic Term (Level),34,358,Tokio Marine Life Insurance Singapore Ltd,300000,0,term,65,m,1,31,0,0,0,1,0,1923
DIRECT - HSBC Life - Term Lite,35,368,HSBC Life (Singapore) Pte. Ltd.,300000,0,term,65,m,1,31,0,1,0,1,1,2022
DIRECT - Etiqa term life,34,375,Etiqa Insurance Pte. Ltd.,300000,0,term,65,m,1,31,0,0,0,1,0,2007
DIRECT Star Term (non-renewable),34,407,Income Insurance Limited,300000,0,term,65,m,1,31,1,1,1,1,1,1970
DIRECT - China Life Term Plan,34,426,China Life Insurance (Singapore) Pte. Ltd.,300000,0,term,65,m,1,31,0,0,0,1,0,2015
DIRECT - Term Life,34,441,FWD SINGAPORE PTE. LTD.,300000,0,term,65,m,1,31,0,0,0,1,0,2016
DIRECT - Singlife Term Life,34,441,Singapore Life Ltd.,300000,0,term,65,m,1,31,0,1,1,1,1,2022
DIRECT - Great Term,34,470,Great Eastern Life,300000,0,term,65,m,1,31,1,1,1,1,1,1908
Direct-LICS New Secure Future Term Plan,34,474,LIC (Singapore) Pte Ltd,300000,0,term,65,m,1,31,0,0,0,0,0,2013
DIRECT - PRUprotect term @ 65,34,588,Prudential Assurance Company Singapore (Pte) Limited,300000,0,term,65,m,1,31,1,1,0,1,1,1931
DIRECT- ManuAssure Term,35,590,Manulife (Singapore) Pte. Ltd.,300000,0,term,65,m,1,31,1,1,0,1,0,1899
DIRECT - Term,34,592,China Taiping Insurance (Singapore) Pte. Ltd.,300000,0,term,65,m,1,31,0,0,0,1,0,2003
DIRECT - AIA Term Cover,35,669,AIA Singapore,300000,0,term,65,m,1,31,1,1,0,1,1,1931
DIRECT - HSBC Life - Term Lite,35,247,HSBC Life (Singapore) Pte. Ltd.,300000,0,term,65,f,1,31,0,1,0,1,1,2022
DIRECT- TM Basic Term (Level),34,281,Tokio Marine Life Insurance Singapore Ltd,300000,0,term,65,f,1,31,0,0,0,1,0,1923
DIRECT - Term Life,34,297,FWD SINGAPORE PTE. LTD.,300000,0,term,65,f,1,31,0,0,0,1,0,2016
DIRECT - China Life Term Plan,34,306,China Life Insurance (Singapore) Pte. Ltd.,300000,0,term,65,f,1,31,0,0,0,1,0,2015
DIRECT Star Term (non-renewable),34,306,Income Insurance Limited,300000,0,term,65,f,1,31,1,1,1,1,1,1970
DIRECT - Great Term,34,314,Great Eastern Life,300000,0,term,65,f,1,31,1,1,1,1,1,1908
DIRECT - Etiqa term life,34,318,Etiqa Insurance Pte. Ltd.,300000,0,term,65,f,1,31,0,0,0,1,0,2007
DIRECT - Singlife Term Life,34,349,Singapore Life Ltd.,300000,0,term,65,f,1,31,0,1,1,1,1,2022
Direct-LICS New Secure Future Term Plan,34,365,LIC (Singapore) Pte Ltd,300000,0,term,65,f,1,31,0,0,0,0,0,2013
DIRECT- ManuAssure Term,35,365,Manulife (Singapore) Pte. Ltd.,300000,0,term,65,f,1,31,1,1,0,1,0,1899
DIRECT - PRUprotect term @ 65,34,423,Prudential Assurance Company Singapore (Pte) Limited,300000,0,term,65,f,1,31,1,1,0,1,1,1931
DIRECT - Term,34,471,China Taiping Insurance (Singapore) Pte. Ltd.,300000,0,term,65,f,1,31,0,0,0,1,0,2003
DIRECT - AIA Term Cover,35,480,AIA Singapore,300000,0,term,65,f,1,31,1,1,0,1,1,1931
DIRECT - Etiqa term life,34,256,Etiqa Insurance Pte. Ltd.,400000,0,term,65,m,0,31,0,0,0,1,0,2007
DIRECT- TM Basic Term (Level),34,277,Tokio Marine Life Insurance Singapore Ltd,400000,0,term,65,m,0,31,0,0,0,1,0,1923
DIRECT - Term,34,302,China Taiping Insurance (Singapore) Pte. Ltd.,400000,0,term,65,m,0,31,0,0,0,1,0,2003
DIRECT Star Term (non-renewable),34,330,Income Insurance Limited,400000,0,term,65,m,0,31,1,1,1,1,1,1970
DIRECT - China Life Term Plan,34,352,China Life Insurance (Singapore) Pte. Ltd.,400000,0,term,65,m,0,31,0,0,0,1,0,2015
DIRECT - HSBC Life - Term Lite,35,356,HSBC Life (Singapore) Pte. Ltd.,400000,0,term,65,m,0,31,0,1,0,1,1,2022
DIRECT - Term Life,34,380,FWD SINGAPORE PTE. LTD.,400000,0,term,65,m,0,31,0,0,0,1,0,2016
DIRECT - Singlife Term Life,34,422,Singapore Life Ltd.,400000,0,term,65,m,0,31,0,1,1,1,1,2022
DIRECT - Great Term,34,443,Great Eastern Life,400000,0,term,65,m,0,31,1,1,1,1,1,1908
DIRECT - AIA Term Cover,35,476,AIA Singapore,400000,0,term,65,m,0,31,1,1,0,1,1,1931
DIRECT - PRUprotect term @ 65,34,476,Prudential Assurance Company Singapore (Pte) Limited,400000,0,term,65,m,0,31,1,1,0,1,1,1931
Direct-LICS New Secure Future Term Plan,34,501,LIC (Singapore) Pte Ltd,400000,0,term,65,m,0,31,0,0,0,0,0,2013
DIRECT- ManuAssure Term,35,515,Manulife (Singapore) Pte. Ltd.,400000,0,term,65,m,0,31,1,1,0,1,0,1899
DIRECT - Term,34,215,China Taiping Insurance (Singapore) Pte. Ltd.,400000,0,term,65,f,0,31,0,0,0,1,0,2003
DIRECT - Etiqa term life,34,216,Etiqa Insurance Pte. Ltd.,400000,0,term,65,f,0,31,0,0,0,1,0,2007
DIRECT Star Term (non-renewable),34,246,Income Insurance Limited,400000,0,term,65,f,0,31,1,1,1,1,1,1970
DIRECT - China Life Term Plan,34,252,China Life Insurance (Singapore) Pte. Ltd.,400000,0,term,65,f,0,31,0,0,0,1,0,2015
DIRECT- TM Basic Term (Level),34,254,Tokio Marine Life Insurance Singapore Ltd,400000,0,term,65,f,0,31,0,0,0,1,0,1923
DIRECT - HSBC Life - Term Lite,35,260,HSBC Life (Singapore) Pte. Ltd.,400000,0,term,65,f,0,31,0,1,0,1,1,2022
DIRECT - Term Life,34,272,FWD SINGAPORE PTE. LTD.,400000,0,term,65,f,0,31,0,0,0,1,0,2016
DIRECT - Great Term,34,303,Great Eastern Life,400000,0,term,65,f,0,31,1,1,1,1,1,1908
DIRECT - PRUprotect term @ 65,34,352,Prudential Assurance Company Singapore (Pte) Limited,400000,0,term,65,f,0,31,1,1,0,1,1,1931
DIRECT - Singlife Term Life,34,361,Singapore Life Ltd.,400000,0,term,65,f,0,31,0,1,1,1,1,2022
DIRECT- ManuAssure Term,35,366,Manulife (Singapore) Pte. Ltd.,400000,0,term,65,f,0,31,1,1,0,1,0,1899
Direct-LICS New Secure Future Term Plan,34,367,LIC (Singapore) Pte Ltd,400000,0,term,65,f,0,31,0,0,0,0,0,2013
DIRECT - AIA Term Cover,35,384,AIA Singapore,400000,0,term,65,f,0,31,1,1,0,1,1,1931
DIRECT- TM Basic Term (Level),34,477,Tokio Marine Life Insurance Singapore Ltd,400000,0,term,65,m,1,31,0,0,0,1,0,1923
DIRECT - HSBC Life - Term Lite,35,490,HSBC Life (Singapore) Pte. Ltd.,400000,0,term,65,m,1,31,0,1,0,1,1,2022
DIRECT - Etiqa term life,34,492,Etiqa Insurance Pte. Ltd.,400000,0,term,65,m,1,31,0,0,0,1,0,2007
DIRECT Star Term (non-renewable),34,543,Income Insurance Limited,400000,0,term,65,m,1,31,1,1,1,1,1,1970
DIRECT - China Life Term Plan,34,548,China Life Insurance (Singapore) Pte. Ltd.,400000,0,term,65,m,1,31,0,0,0,1,0,2015
DIRECT - Term Life,34,588,FWD SINGAPORE PTE. LTD.,400000,0,term,65,m,1,31,0,0,0,1,0,2016
DIRECT - Singlife Term Life,34,588,Singapore Life Ltd.,400000,0,term,65,m,1,31,0,1,1,1,1,2022
DIRECT - Great Term,34,626,Great Eastern Life,400000,0,term,65,m,1,31,1,1,1,1,1,1908
Direct-LICS New Secure Future Term Plan,34,632,LIC (Singapore) Pte Ltd,400000,0,term,65,m,1,31,0,0,0,0,0,2013
DIRECT - Term,34,650,China Taiping Insurance (Singapore) Pte. Ltd.,400000,0,term,65,m,1,31,0,0,0,1,0,2003
DIRECT - PRUprotect term @ 65,34,784,Prudential Assurance Company Singapore (Pte) Limited,400000,0,term,65,m,1,31,1,1,0,1,1,1931
DIRECT- ManuAssure Term,35,786,Manulife (Singapore) Pte. Ltd.,400000,0,term,65,m,1,31,1,1,0,1,0,1899
DIRECT - AIA Term Cover,35,892,AIA Singapore,400000,0,term,65,m,1,31,1,1,0,1,1,1931
DIRECT - HSBC Life - Term Lite,35,330,HSBC Life (Singapore) Pte. Ltd.,400000,0,term,65,f,1,31,0,1,0,1,1,2022
DIRECT- TM Basic Term (Level),34,374,Tokio Marine Life Insurance Singapore Ltd,400000,0,term,65,f,1,31,0,0,0,1,0,1923
DIRECT - China Life Term Plan,34,388,China Life Insurance (Singapore) Pte. Ltd.,400000,0,term,65,f,1,31,0,0,0,1,0,2015
DIRECT - Term Life,34,396,FWD SINGAPORE PTE. LTD.,400000,0,term,65,f,1,31,0,0,0,1,0,2016
DIRECT Star Term (non-renewable),34,408,Income Insurance Limited,400000,0,term,65,f,1,31,1,1,1,1,1,1970
DIRECT - Etiqa term life,34,416,Etiqa Insurance Pte. Ltd.,400000,0,term,65,f,1,31,0,0,0,1,0,2007
DIRECT - Great Term,34,419,Great Eastern Life,400000,0,term,65,f,1,31,1,1,1,1,1,1908
DIRECT - Singlife Term Life,34,465,Singapore Life Ltd.,400000,0,term,65,f,1,31,0,1,1,1,1,2022
Direct-LICS New Secure Future Term Plan,34,487,LIC (Singapore) Pte Ltd,400000,0,term,65,f,1,31,0,0,0,0,0,2013
DIRECT- ManuAssure Term,35,487,Manulife (Singapore) Pte. Ltd.,400000,0,term,65,f,1,31,1,1,0,1,0,1899
DIRECT - Term,34,517,China Taiping Insurance (Singapore) Pte. Ltd.,400000,0,term,65,f,1,31,0,0,0,1,0,2003
DIRECT - PRUprotect term @ 65,34,564,Prudential Assurance Company Singapore (Pte) Limited,400000,0,term,65,f,1,31,1,1,0,1,1,1931
DIRECT - AIA Term Cover,35,640,AIA Singapore,400000,0,term,65,f,1,31,1,1,0,1,1,1931
DIRECT - Etiqa term life with CI,34,212,Etiqa Insurance Pte. Ltd.,100000,1,term,65,m,0,31,0,0,0,1,0,2007
DIRECT - Great Term with Optional DIRECT - Great Critical Care,34,234,Great Eastern Life,100000,1,term,65,m,0,31,1,1,1,1,1,1908
DIRECT- TM Basic Term (Level) (+ Critical Illness),34,238,Tokio Marine Life Insurance Singapore Ltd,100000,1,term,65,m,0,31,0,0,0,1,0,1923
DIRECT - Term Life,34,253,FWD SINGAPORE PTE. LTD.,100000,1,term,65,m,0,31,0,0,0,1,0,2016
DIRECT - HSBC Life - Term Lite and Termcare,35,254,HSBC Life (Singapore) Pte. Ltd.,100000,1,term,65,m,0,31,0,1,0,1,1,2022
